0 ,  0.9360601 ,  Social norms ,  Consideration of social norms
1 ,  0.9341209 ,  Empathy towards others' preferences ,  Empathy towards others' choices
2 ,  0.910182 ,  Taking responsibility ,  Responsibility
3 ,  0.90325487 ,  Responsibility ,  Responsibility for actions
4 ,  0.9017004 ,  Honesty and integrity ,  Honesty
5 ,  0.89933765 ,  Empathy towards others' choices ,  Empathy towards others' situations
6 ,  0.8936721 ,  Honesty and accountability ,  Honesty and integrity
7 ,  0.8932482 ,  Empathy towards others' preferences ,  Empathy towards others' situations
8 ,  0.8915081 ,  Respect for private property ,  Respect for personal property
9 ,  0.8751361 ,  Awareness of social norms ,  Consideration of social norms
10 ,  0.87507486 ,  Taking responsibility ,  Responsibility for actions
11 ,  0.86913025 ,  Understanding of societal norms ,  Consideration of social norms
12 ,  0.8677623 ,  Awareness of social norms ,  Social norms
13 ,  0.85589087 ,  Empathy towards others' needs ,  Empathy towards others' situations
14 ,  0.8540184 ,  Recognition and appreciation ,  Appreciation
15 ,  0.8498489 ,  Understanding of societal norms ,  Awareness of social norms
16 ,  0.8480793 ,  Fostering a relationship ,  Fostering positive relationships
17 ,  0.8475056 ,  Empathy towards others' preferences ,  Empathy towards others' needs
18 ,  0.84685004 ,  Responsibility in dealing with others ,  Responsibility for actions
19 ,  0.8424511 ,  Respect for the individual's autonomy ,  Autonomy
20 ,  0.83854747 ,  Understanding of societal norms ,  Social norms
21 ,  0.837919 ,  Empathy towards others' needs ,  Empathy towards others' choices
22 ,  0.83635604 ,  Respect for diversity and difference ,  Appreciating diversity
23 ,  0.83442366 ,  Consideration for others' opinions ,  Consideration for others' feelings
24 ,  0.83364636 ,  Responsibility in dealing with others ,  Responsibility
25 ,  0.8320755 ,  Responsibility ,  Social responsibility
26 ,  0.824771 ,  Responsibility for actions ,  Taking responsibility for one's own actions
27 ,  0.82251936 ,  Honesty in social interactions ,  Honesty
28 ,  0.81785107 ,  Honesty and accountability ,  Honesty
29 ,  0.8150027 ,  Empathy towards others' choices ,  Consideration for others' feelings
30 ,  0.81138027 ,  Respect for others' personal choices and beliefs ,  Respect for individual choices
31 ,  0.8104334 ,  Consequences of ,  Harmful consequences
32 ,  0.80912656 ,  Empathy towards others' preferences ,  Consideration for others' feelings
33 ,  0.8066547 ,  Taking responsibility ,  Taking responsibility for one's own actions
34 ,  0.80452156 ,  Respect for others' feelings ,  Consideration for others' feelings
35 ,  0.8013458 ,  Cultural norms ,  Social norms
36 ,  0.7965853 ,  Taking responsibility ,  Responsibility in dealing with others
37 ,  0.79493 ,  Responsibility in dealing with others ,  Ethical responsibility towards others
38 ,  0.7921202 ,  Consideration of ,  Consider
39 ,  0.7901087 ,  Ability to communicate effectively ,  Communication
40 ,  0.78710294 ,  Responsibility for actions ,  Social responsibility
41 ,  0.7830784 ,  Understanding of societal norms ,  Cultural norms
42 ,  0.7772621 ,  Relationship building ,  Fostering a relationship
43 ,  0.7749814 ,  Relationship building ,  Relationship dynamics
44 ,  0.77216303 ,  Respect for others' personal choices and beliefs ,  Consideration for others' feelings
45 ,  0.77177465 ,  Respect for others' personal choices and beliefs ,  Respect for others' feelings
46 ,  0.77052784 ,  Empathy towards others' preferences ,  Respect for others' feelings
47 ,  0.7659082 ,  Cultural norms ,  Consideration of social norms
48 ,  0.7652404 ,  Fairness and honesty in decision- ,  Honesty and integrity
49 ,  0.7644286 ,  Taking responsibility ,  Social responsibility
50 ,  0.76438725 ,  Responsibility in dealing with others ,  Social responsibility
51 ,  0.7633923 ,  Respect for others' personal choices and beliefs ,  Consideration for others' opinions
52 ,  0.7633796 ,  Empathy towards others' situations ,  Consideration for others' feelings
53 ,  0.76214755 ,  Fairness and honesty in decision- ,  Honesty and accountability
54 ,  0.76036716 ,  Honesty and integrity ,  Honesty in social interactions
55 ,  0.75759566 ,  Ethical responsibility towards others ,  Ethical Living
56 ,  0.75562346 ,  Ethical responsibility towards others ,  Social responsibility
57 ,  0.75162613 ,  Value of relationships ,  Relationship dynamics
58 ,  0.74969053 ,  Integrity in personal decisions ,  Integrity in action
59 ,  0.7477871 ,  Cultural norms ,  Awareness of social norms
60 ,  0.7445913 ,  Responsibility ,  Ethical responsibility towards others
61 ,  0.7424176 ,  Responsibility in dealing with others ,  Taking responsibility for one's own actions
62 ,  0.7415542 ,  Fairness and honesty in decision- ,  Honesty
63 ,  0.73852086 ,  Ethical responsibility towards others ,  Responsibility for actions
64 ,  0.7358053 ,  Respect for others' personal choices and beliefs ,  Empathy towards others' choices
65 ,  0.7341664 ,  Kindness toward others ,  Generosity towards those suffering
66 ,  0.7322899 ,  Respect for others' feelings ,  Empathy towards others' situations
67 ,  0.7292225 ,  Honesty and accountability ,  Honesty in social interactions
68 ,  0.7272766 ,  Respect for others' feelings ,  Respect for others' possessions
69 ,  0.7272537 ,  Respect for others' feelings ,  Empathy towards others' choices
70 ,  0.72634804 ,  Ethical communication and support systems ,  Ethical Living
71 ,  0.7250954 ,  Harmful effects of societal influences ,  Harmful consequences
72 ,  0.72442734 ,  Self-actualization ,  Self-expression
73 ,  0.7233386 ,  Respect for ,  Respect for others' feelings
74 ,  0.72298765 ,  Ethical responsibility towards others ,  Ethical communication and support systems
75 ,  0.7221221 ,  Empathy towards others' needs ,  Consideration for others' feelings
76 ,  0.71862483 ,  Responsibility ,  Taking responsibility for one's own actions
77 ,  0.71853405 ,  Consideration of others' comfort ,  Consideration for others' feelings
78 ,  0.7173953 ,  Relationship building ,  Value of relationships
79 ,  0.71370745 ,  Autonomy in decision-making ,  Autonomy
80 ,  0.7097211 ,  Empathy towards others' preferences ,  Respect for others' personal choices and beliefs
81 ,  0.70401454 ,  Kindness toward others ,  Empathy towards others' situations
82 ,  0.70355535 ,  Relationship building ,  Healthy interpersonal relationships
83 ,  0.6988868 ,  Generosity-based mental health ,  Generosity towards those suffering
84 ,  0.6982961 ,  Relationship building ,  Fostering positive relationships
85 ,  0.69139266 ,  Taking responsibility ,  Ethical responsibility towards others
86 ,  0.6912217 ,  Honesty and integrity ,  Integrity in action
